Ciclo 0000 | Temp: 10000.00 | Melhor Custo: 4498.0 | Tempo Decorrido: 0.0005s
Ciclo 0001 | Temp: 9500.00 | Melhor Custo: 4498.0 | Tempo Decorrido: 0.0011s
Ciclo 0002 | Temp: 9025.00 | Melhor Custo: 4498.0 | Tempo Decorrido: 0.0017s
Ciclo 0003 | Temp: 8573.75 | Melhor Custo: 4498.0 | Tempo Decorrido: 0.0023s
Ciclo 0004 | Temp: 8145.06 | Melhor Custo: 4498.0 | Tempo Decorrido: 0.0030s
Ciclo 0005 | Temp: 7737.81 | Melhor Custo: 4498.0 | Tempo Decorrido: 0.0036s
Ciclo 0006 | Temp: 7350.92 | Melhor Custo: 4498.0 | Tempo Decorrido: 0.0042s
Ciclo 0007 | Temp: 6983.37 | Melhor Custo: 4498.0 | Tempo Decorrido: 0.0051s
Ciclo 0008 | Temp: 6634.20 | Melhor Custo: 4498.0 | Tempo Decorrido: 0.0059s
Ciclo 0009 | Temp: 6302.49 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0065s
Ciclo 0010 | Temp: 5987.37 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0071s
Ciclo 0011 | Temp: 5688.00 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0077s
Ciclo 0012 | Temp: 5403.60 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0083s
Ciclo 0013 | Temp: 5133.42 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0090s
Ciclo 0014 | Temp: 4876.75 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0095s
Ciclo 0015 | Temp: 4632.91 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0101s
Ciclo 0016 | Temp: 4401.27 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0107s
Ciclo 0017 | Temp: 4181.20 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0113s
Ciclo 0018 | Temp: 3972.14 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0122s
Ciclo 0019 | Temp: 3773.54 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0131s
Ciclo 0020 | Temp: 3584.86 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0137s
Ciclo 0021 | Temp: 3405.62 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0142s
Ciclo 0022 | Temp: 3235.34 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0151s
Ciclo 0023 | Temp: 3073.57 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0156s
Ciclo 0024 | Temp: 2919.89 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0162s
Ciclo 0025 | Temp: 2773.90 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0168s
Ciclo 0026 | Temp: 2635.20 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0174s
Ciclo 0027 | Temp: 2503.44 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0180s
Ciclo 0028 | Temp: 2378.27 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0188s
Ciclo 0029 | Temp: 2259.36 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0196s
Ciclo 0030 | Temp: 2146.39 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0203s
Ciclo 0031 | Temp: 2039.07 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0210s
Ciclo 0032 | Temp: 1937.11 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0216s
Ciclo 0033 | Temp: 1840.26 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0222s
Ciclo 0034 | Temp: 1748.25 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0228s
Ciclo 0035 | Temp: 1660.83 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0234s
Ciclo 0036 | Temp: 1577.79 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0240s
Ciclo 0037 | Temp: 1498.90 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0246s
Ciclo 0038 | Temp: 1423.96 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0252s
Ciclo 0039 | Temp: 1352.76 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0258s
Ciclo 0040 | Temp: 1285.12 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0266s
Ciclo 0041 | Temp: 1220.87 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0272s
Ciclo 0042 | Temp: 1159.82 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0278s
Ciclo 0043 | Temp: 1101.83 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0284s
Ciclo 0044 | Temp: 1046.74 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0290s
Ciclo 0045 | Temp:  994.40 | Melhor Custo: 4260.0 | Tempo Decorrido: 0.0296s
